time_s,n_citric_g,x_piston_cm,v_piston_cm_s,s_vehicle_m,v_vehicle_cm_s,n_co2_gas_mol,n_co2_dissolved_mol,P_reactor_bar,n_air_mol
0.239550,242.903019,15.000000,0.000000,0.000000,0.000000,0.00151438,0.00043602,0.0137,0.00000000
0.244550,242.900996,15.000000,0.000000,0.000000,0.000000,0.00154598,0.00044458,0.0140,0.00000000
0.249550,242.898972,15.000000,0.000000,0.000000,0.000000,0.00157757,0.00045312,0.0142,0.00000000
0.254550,242.896949,15.000000,0.000000,0.000000,0.000000,0.00160917,0.00046163,0.0145,0.00000000
0.259550,242.894926,15.000000,0.000000,0.000000,0.000000,0.00164076,0.00047012,0.0148,0.00000000
0.264550,242.892903,15.000000,0.000000,0.000000,0.000000,0.00167235,0.00047859,0.0151,0.00000000
0.269550,242.890879,15.000000,0.000000,0.000000,0.000000,0.00170394,0.00048704,0.0154,0.00000000
0.274550,242.888856,15.000000,0.000000,0.000000,0.000000,0.00173553,0.00049547,0.0157,0.00000000
0.279550,242.886833,15.000000,0.000000,0.000000,0.000000,0.00176712,0.00050388,0.0160,0.00000000
0.284550,242.884810,15.000000,0.000000,0.000000,0.000000,0.00179871,0.00051226,0.0162,0.00000000
0.289550,242.882787,15.000000,0.000000,0.000000,0.000000,0.00183030,0.00052063,0.0165,0.00000000
0.294550,242.880764,15.000000,0.000000,0.000000,0.000000,0.00186189,0.00052898,0.0168,0.00000000
0.299550,242.878741,15.000000,0.000000,0.000000,0.000000,0.00189348,0.00053730,0.0171,0.00000000
0.304550,242.876719,15.000000,0.000000,0.000000,0.000000,0.00192507,0.00054560,0.0174,0.00000000
0.309550,242.874696,15.000000,0.000000,0.000000,0.000000,0.00195666,0.00055389,0.0177,0.00000000
0.314550,242.872673,15.000000,0.000000,0.000000,0.000000,0.00198824,0.00056215,0.0179,0.00000000
0.319550,242.870650,15.000000,0.000000,0.000000,0.000000,0.00201983,0.00057039,0.0182,0.00000000
0.324550,242.868627,15.000000,0.000000,0.000000,0.000000,0.00205141,0.00057861,0.0185,0.00000000
0.329550,242.866605,15.000000,0.000000,0.000000,0.000000,0.00208300,0.00058681,0.0188,0.00000000
0.334550,242.864582,15.000000,0.000000,0.000000,0.000000,0.00211458,0.00059499,0.0191,0.00000000
0.339550,242.862559,15.000000,0.000000,0.000000,0.000000,0.00214617,0.00060315,0.0194,0.00000000
0.344550,242.860537,15.000000,0.000000,0.000000,0.000000,0.00217775,0.00061129,0.0197,0.00000000
0.349550,242.858514,15.000000,0.000000,0.000000,0.000000,0.00220933,0.00061941,0.0199,0.00000000
0.354550,242.856492,15.000000,0.000000,0.000000,0.000000,0.00224091,0.00062750,0.0202,0.00000000
0.359550,242.854469,15.000000,0.000000,0.000000,0.000000,0.00227250,0.00063558,0.0205,0.00000000
